S	M	T	W	R	F	S
0	1	0	4	2	1	0	
0	3	0	3	0	0	0	
0	2	4	3	4	0	0	
0	1	0	2	0	0	0	
0	2	2	2	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	16	13	23	13	3	0	

S	M	T	W	R	F	S
0	0	0	0	2	0	0	
0	4	1	4	6	0	0	
0	5	1	3	2	0	0	
0	0	4	3	2	0	0	
0	3	1	1	6	0	0	
0	1	2	1	3	0	0	
0	2	3	0	2	0	0	
0	2	1	1	0	0	0	
0	1	2	0	0	0	0	
0	0	0	0	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	18	15	13	24	0	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	6	3	5	2	0	0	
0	1	3	2	1	0	0	
0	4	2	1	6	0	0	
0	4	1	3	4	0	0	
0	2	3	1	6	0	0	
0	5	0	2	0	0	0	
0	1	2	0	2	0	0	
0	1	2	0	0	0	0	
0	0	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	24	17	14	21	0	0	

S	M	T	W	R	F	S
0	0	1	0	0	0	0	
0	1	2	1	0	0	0	
0	2	0	1	0	0	0	
0	1	4	1	0	0	0	
0	4	0	0	0	0	0	
0	0	2	1	0	0	0	
0	1	4	1	0	0	0	
0	0	2	0	0	0	0	
0	1	2	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	10	17	5	0	0	0	

S	M	T	W	R	F	S
0	0	0	0	1	0	0	
0	2	3	2	2	1	0	
0	2	5	3	1	1	0	
0	2	5	2	5	1	0	
0	3	3	6	4	0	0	
0	0	4	1	4	0	0	
