S	M	T	W	R	F	S
0	9	24	9	16	2	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	1	0	2	1	1	0	
0	0	0	0	1	1	0	
0	8	2	2	6	1	0	
0	5	2	2	0	0	0	
0	1	3	0	2	2	0	
0	2	1	3	2	2	0	
0	1	1	0	1	0	0	
0	0	0	0	0	0	0	
0	0	1	9	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	18	10	18	13	7	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	0	3	0	0	
0	1	1	1	2	0	0	
0	2	2	5	0	2	0	
0	1	5	0	2	0	0	
0	0	1	2	1	0	0	
0	0	6	17	1	0	0	
0	0	3	1	1	0	0	
0	1	0	1	0	0	0	
0	0	1	0	0	0	0	
0	1	0	1	0	0	0	
0	0	1	0	0	0	0	
0	2	0	0	0	0	0	
0	0	0	0	0	0	0	
0	8	20	28	10	2	0	

S	M	T	W	R	F	S
0	1	0	0	0	0	0	
0	0	1	1	1	0	0	
0	2	3	0	5	0	0	
0	7	5	0	4	0	0	
0	2	1	1	4	0	0	
0	0	3	4	1	0	0	
0	3	1	3	0	0	0	
0	2	1	2	2	0	0	
0	0	1	0	2	0	0	
0	1	0	2	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	18	16	13	20	0	0	

S	M	T	W	R	F	S
0	0	2	2	0	0	0	
0	0	2	3	1	0	0	
0	3	2	0	1	1	0	
0	3	5	2	4	1	0	
0	4	1	3	7	0	0	
0	2	8	1	2	1	0	
0	1	2	3	3	0	0	
0	0	2	0	1	0	0	
0	2	1	0	1	0	0	
0	2	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	17	25	14	20	3	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	1	0	0	0	0	
0	3	3	0	0	0	0	
0	2	2	0	0	0	0	
0	1	3	0	0	0	0	
0	3	1	0	0	0	0	
0	1	0	0	0	0	0	
0	1	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	11	11	0	0	0	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	2	0	1	0	0	
0	2	1	2	4	0	0	
0	3	1	1	2	4	0	
0	4	7	0	4	1	0	
0	0	5	2	2	0	0	
0	2	3	3	0	0	0	
0	0	1	0	0	1	0	
0	3	0	0	2	0	0	
0	1	0	0	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	15	20	8	16	6	0	

S	M	T	W	R	F	S
0	0	0	0	2	0	0	
0	1	1	1	2	1	0	
0	0	2	1	4	3	0	
0	2	1	0	2	1	0	
0	3	2	0	1	0	0	
0	1	3	7	3	2	0	
0	4	4	1	0	0	0	
0	1	4	0	2	0	0	
0	0	0	0	2	0	0	
0	1	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	1	0	0	0	0	0	
0	14	17	10	18	7	0	

S	M	T	W	R	F	S
0	0	1	0	0	0	0	
0	3	2	0	1	0	0	
0	2	4	2	3	0	0	
0	2	3	2	2	0	0	
0	8	1	0	1	0	0	
0	0	2	2	0	0	0	
0	2	2	1	0	0	0	
0	0	2	0	0	0	0	
0	0	0	0	0	0	0	
0	0	2	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	17	19	7	7	0	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	3	0	0	
0	0	0	0	0	0	0	
0	0	0	0	2	0	0	
0	0	0	0	0	0	0	
0	0	0	0	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	6	0	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	3	1	1	4	0	0	
0	0	2	0	0	1	0	
0	3	1	2	2	1	0	
0	0	2	1	2	1	0	
0	1	1	0	3	0	0	
0	2	0	0	0	0	0	
0	0	0	2	0	0	0	
0	0	0	1	2	0	0	
0	0	0	0	2	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	1	0	0	0	0	0	
0	0	0	0	0	0	0	
0	10	7	7	15	3	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	2	3	3	0	0	
0	5	1	0	2	0	0	
0	4	1	4	1	2	0	
0	2	2	1	2	0	0	
0	1	0	2	1	0	0	
0	0	1	4	1	0	0	
0	0	0	0	0	0	0	
0	1	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	13	8	14	10	2	0	

S	M	T	W	R	F	S
0	0	1	0	0	0	0	
0	3	1	4	4	0	0	
0	5	1	0	0	1	0	
0	3	2	1	2	0	0	
0	4	1	2	0	0	0	
0	0	2	1	0	0	0	
0	6	0	1	2	0	0	
0	0	0	0	2	0	0	
0	1	1	2	1	0	0	
0	2	0	0	3	0	0	
0	0	0	1	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	24	9	12	14	1	0	

S	M	T	W	R	F	S
0	0	1	0	0	0	0	
0	2	3	2	0	0	0	
0	1	1	1	0	1	0	
0	1	1	4	0	1	0	
0	1	1	5	1	0	0	
0	1	0	1	1	0	0	
0	1	1	1	1	0	0	
0	0	0	0	1	0	0	
0	3	0	0	1	0	0	
0	0	0	0	0	0	0	
0	0	2	0	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	10	10	14	6	2	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	3	2	3	2	0	
0	0	5	3	2	0	0	
0	0	2	4	1	1	0	
0	0	1	0	3	0	0	
0	0	2	1	2	0	0	
0	0	1	2	2	0	0	
0	0	1	3	1	0	0	
0	0	0	1	0	0	0	
0	0	0	1	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	15	17	14	3	0	

S	M	T	W	R	F	S
0	0	0	1	0	0	0	
0	0	2	5	1	0	0	
0	3	7	3	3	0	0	
0	2	2	0	0	0	0	
0	5	2	1	1	0	0	
0	3	1	1	0	0	0	
0	1	1	0	1	0	0	
0	2	1	0	1	0	0	
0	0	0	1	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	1	0	0	
0	0	0	0	0	0	0	
0	16	16	12	9	0	0	

S	M	T	W	R	F	S
0	1	0	0	0	0	0	
0	1	3	3	2	5	0	
0	0	3	2	0	1	0	
0	3	2	2	0	0	0	
0	5	0	1	0	1	0	
0	3	2	2	0	0	0	
0	2	2	2	0	0	0	
0	2	0	1	0	0	0	
0	0	0	0	0	0	0	
0	1	0	2	0	0	0	
0	0	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	18	13	15	2	7	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	1	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	1	2	0	0	0	
0	0	0	0	0	1	0	
0	0	0	0	0	1	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	1	3	0	2	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	1	1	0	2	1	0	
0	3	11	0	6	2	0	
0	1	6	0	3	1	0	
0	0	1	0	0	1	0	
0	0	0	0	3	0	0	
0	2	0	0	0	1	0	
0	0	0	0	1	0	0	
0	1	0	0	1	0	0	
0	0	0	0	0	0	0	
0	1	0	0	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	9	19	0	17	6	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	3	0	0	0	0	0	
0	0	0	0	0	0	0	
0	4	0	0	0	0	0	
0	3	0	0	0	0	0	
0	1	0	0	0	0	0	
0	6	0	0	0	0	0	
0	5	0	0	0	0	0	
0	2	0	0	0	0	0	
0	1	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	25	0	0	0	0	0	

